Chemin_Fichier,Date_Heure_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_9025.jpeg,2025-12-14 09:23:08.527649879,churros,13.36%,OK
../data/raw/p01/food-images/IMG_9026.jpeg,2025-12-14 09:23:11.382707357,fried calamari,24.99%,OK
../data/raw/p01/food-images/IMG_9028.jpeg,2025-12-14 09:23:09.752899885,panna cotta,24.48%,OK
../data/raw/p01/food-images/IMG_9029.jpeg,2025-12-14 09:23:08.932482481,risotto,16.71%,OK
../data/raw/p01/food-images/IMG_9030.jpeg,2025-12-14 09:23:11.416058779,panna cotta,20.17%,OK
../data/raw/p01/food-images/IMG_9032.jpeg,2025-12-14 09:23:10.090742111,tacos,43.29%,OK
../data/raw/p01/food-images/IMG_9033.jpeg,2025-12-14 09:23:08.560794830,samosa,8.89%,OK
../data/raw/p01/food-images/IMG_9034.jpeg,2025-12-14 09:23:07.908767223,panna cotta,22.68%,OK
../data/raw/p01/food-images/IMG_9035.jpeg,2025-12-14 09:23:07.316395521,cheese plate,11.22%,OK
../data/raw/p01/food-images/IMG_9036.jpeg,2025-12-14 09:23:12.499412775,scallops,7.91%,OK
../data/raw/p01/food-images/IMG_9037.jpeg,2025-12-14 09:23:12.264461993,beef tartare,9.03%,OK
../data/raw/p01/food-images/IMG_9038.jpeg,2025-12-14 09:23:08.346794367,panna cotta,15.41%,OK
../data/raw/p01/food-images/IMG_9039.jpeg,2025-12-14 09:23:06.942490816,panna cotta,20.81%,OK
../data/raw/p01/food-images/IMG_9040.jpeg,2025-12-14 09:23:11.811471701,tuna tartare,17.57%,OK
../data/raw/p01/food-images/IMG_9041.jpeg,2025-12-14 09:23:12.975752592,chocolate mousse,18.67%,OK
../data/raw/p01/food-images/IMG_9042.jpeg,2025-12-14 09:23:07.088603497,cheese plate,8.90%,OK
../data/raw/p01/food-images/IMG_9043.jpeg,2025-12-14 09:23:08.126979113,beef tartare,8.04%,OK
../data/raw/p01/food-images/IMG_9044.jpeg,2025-12-14 09:23:09.116290092,cheese plate,12.91%,OK
../data/raw/p01/food-images/IMG_9046.jpeg,2025-12-14 09:23:10.625024796,chocolate mousse,24.70%,OK
../data/raw/p01/food-images/IMG_9047.jpeg,2025-12-14 09:23:11.177992821,pulled pork sandwich,9.01%,OK
../data/raw/p01/food-images/IMG_9048.jpeg,2025-12-14 09:23:08.746191978,macaroni and cheese,17.52%,OK
../data/raw/p01/food-images/IMG_9049.jpeg,2025-12-14 09:23:09.901637554,donuts,15.31%,OK
../data/raw/p01/food-images/IMG_9050.jpeg,2025-12-14 09:23:10.518172264,cheese plate,12.01%,OK
../data/raw/p01/food-images/IMG_9051.jpeg,2025-12-14 09:23:11.260432005,chocolate mousse,24.86%,OK
../data/raw/p01/food-images/IMG_9052.jpeg,2025-12-14 09:23:09.232288599,ice cream,7.60%,OK
../data/raw/p01/food-images/IMG_9053.jpeg,2025-12-14 09:23:09.433658600,panna cotta,13.99%,OK
../data/raw/p01/food-images/IMG_9054.jpeg,2025-12-14 09:23:07.187352180,churros,14.65%,OK
../data/raw/p01/food-images/IMG_9057.jpeg,2025-12-14 09:23:13.111331224,tacos,11.31%,OK
../data/raw/p01/food-images/IMG_9058.jpeg,2025-12-14 09:23:07.527290106,filet mignon,15.68%,OK
../data/raw/p01/food-images/IMG_9059.jpeg,2025-12-14 09:23:07.686372280,panna cotta,26.54%,OK
../data/raw/p01/food-images/IMG_9060.jpeg,2025-12-14 09:23:12.249450207,club sandwich,29.11%,OK
../data/raw/p01/food-images/IMG_9061.jpeg,2025-12-14 09:23:12.522856236,caprese salad,16.45%,OK
../data/raw/p01/food-images/IMG_9062.jpeg,2025-12-14 09:23:07.330651045,caprese salad,13.71%,OK
../data/raw/p01/food-images/IMG_9063.jpeg,2025-12-14 09:23:07.864156246,tuna tartare,16.35%,OK
../data/raw/p01/food-images/IMG_9064.jpeg,2025-12-14 09:23:08.616194010,ice cream,17.37%,OK
../data/raw/p01/food-images/IMG_9065.jpeg,2025-12-14 09:23:10.028879404,macarons,10.73%,OK
../data/raw/p01/food-images/IMG_9066.jpeg,2025-12-14 09:23:10.364603996,panna cotta,23.41%,OK
../data/raw/p01/food-images/IMG_9067.jpeg,2025-12-14 09:23:11.440646172,cheese plate,13.35%,OK
../data/raw/p01/food-images/IMG_9068.jpeg,2025-12-14 09:23:09.006091595,panna cotta,12.54%,OK
../data/raw/p01/food-images/IMG_9069.jpeg,2025-12-14 09:23:09.656358957,tiramisu,13.06%,OK
../data/raw/p01/food-images/IMG_9072.jpeg,2025-12-14 09:23:08.484237432,hot dog,54.13%,OK
../data/raw/p01/food-images/IMG_9073.jpeg,2025-12-14 09:23:10.130752325,cheese plate,26.60%,OK
../data/raw/p01/food-images/IMG_9074.jpeg,2025-12-14 09:23:07.260583401,hot dog,9.60%,OK
../data/raw/p01/food-images/IMG_9075.jpeg,2025-12-14 09:23:07.996191263,macarons,22.72%,OK
../data/raw/p01/food-images/IMG_9078.jpeg,2025-12-14 09:23:06.880655766,donuts,10.26%,OK
../data/raw/p01/food-images/IMG_9082.jpeg,2025-12-14 09:23:12.871245384,macarons,25.70%,OK
../data/raw/p01/food-images/IMG_9083.jpeg,2025-12-14 09:23:11.906336069,steak,24.43%,OK
../data/raw/p01/food-images/IMG_9084.jpeg,2025-12-14 09:23:11.016026019,chocolate mousse,19.19%,OK
../data/raw/p01/food-images/IMG_9085.jpeg,2025-12-14 09:23:10.745053053,cup cakes,33.70%,OK
../data/raw/p01/food-images/IMG_9088.jpeg,2025-12-14 09:23:11.482277393,hot dog,9.45%,OK
../data/raw/p01/food-images/IMG_9089.jpeg,2025-12-14 09:23:10.388964891,panna cotta,13.25%,OK
../data/raw/p01/food-images/IMG_9091.jpeg,2025-12-14 09:23:08.890481234,churros,61.21%,OK
../data/raw/p01/food-images/IMG_9092.jpeg,2025-12-14 09:23:10.893269300,cheesecake,38.73%,OK
../data/raw/p01/food-images/IMG_9093.jpeg,2025-12-14 09:23:10.869092703,club sandwich,9.18%,OK
../data/raw/p01/food-images/IMG_9094.jpeg,2025-12-14 09:23:12.739578247,chocolate mousse,34.38%,OK
../data/raw/p01/food-images/IMG_9096.jpeg,2025-12-14 09:23:08.462235689,ice cream,26.21%,OK
../data/raw/p01/food-images/IMG_9098.jpeg,2025-12-14 09:23:12.403237104,chocolate mousse,25.82%,OK
../data/raw/p01/food-images/IMG_9099.jpeg,2025-12-14 09:23:12.353551149,apple pie,8.89%,OK
../data/raw/p01/food-images/IMG_9101.jpeg,2025-12-14 09:23:09.151287794,miso soup,26.15%,OK
../data/raw/p01/food-images/IMG_9102.jpeg,2025-12-14 09:23:11.159991026,macarons,16.37%,OK
../data/raw/p01/food-images/IMG_9104.jpeg,2025-12-14 09:23:12.952407598,cup cakes,53.04%,OK
../data/raw/p01/food-images/IMG_9106.jpeg,2025-12-14 09:23:08.162977695,hot dog,91.63%,OK
../data/raw/p01/food-images/IMG_9107.jpeg,2025-12-14 09:23:07.128764391,chocolate mousse,25.48%,OK
../data/raw/p01/food-images/IMG_9108.jpeg,2025-12-14 09:23:12.614993334,beet salad,13.28%,OK
../data/raw/p01/food-images/IMG_9109.jpeg,2025-12-14 09:23:12.151532650,deviled eggs,12.29%,OK
../data/raw/p01/food-images/IMG_9110.jpeg,2025-12-14 09:23:08.066478014,hot dog,15.25%,OK
