participant_id,image_path,detected_foods,estimated_calories
p01,data/raw/p01/food-images/IMG_9068.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9069.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9072.jpeg,"['cheeseburger', 'cheese', 'hotdog']",960
p01,data/raw/p01/food-images/IMG_9073.jpeg,"['cheeseburger', 'cheese', 'hotdog']",960
p01,data/raw/p01/food-images/IMG_9074.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9075.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9078.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9082.jpeg,"['spaghetti', 'orange']",267
p01,data/raw/p01/food-images/IMG_9083.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9084.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9085.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9088.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9089.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9091.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9092.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9093.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9094.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9096.jpeg,['egg'],155
p01,data/raw/p01/food-images/IMG_9098.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9099.jpeg,"['pizza', 'hotdog']",540
p01,data/raw/p01/food-images/IMG_9101.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9102.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9104.jpeg,['egg'],155
p01,data/raw/p01/food-images/IMG_9106.jpeg,"['cheeseburger', 'cheese', 'hotdog']",960
p01,data/raw/p01/food-images/IMG_9107.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9108.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9109.jpeg,['spaghetti'],220
p01,data/raw/p01/food-images/IMG_9110.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9112.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9116.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9117.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9118.jpeg,['orange'],47
p01,data/raw/p01/food-images/IMG_9119.jpeg,"['banana', 'spaghetti', 'orange']",356
