Chemin_Fichier,Date_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_9401.jpeg,2020-03-28,panna cotta,20.51%,OK
../data/raw/p01/food-images/IMG_9403.jpeg,2020-03-28,chocolate mousse,20.00%,OK
../data/raw/p01/food-images/IMG_9404.jpeg,2020-03-28,spaghetti carbonara,58.63%,OK
../data/raw/p01/food-images/IMG_9405.jpeg,2020-03-29,ice cream,26.02%,OK
../data/raw/p01/food-images/IMG_9406.jpeg,2020-03-29,cheese plate,34.51%,OK
../data/raw/p01/food-images/IMG_9407.jpeg,2020-03-29,french fries,12.94%,OK
../data/raw/p01/food-images/IMG_9408.jpeg,2020-03-30,cheese plate,17.85%,OK
../data/raw/p01/food-images/IMG_9409.jpeg,2020-03-30,french fries,23.69%,OK
../data/raw/p01/food-images/IMG_9410.jpeg,2020-03-30,french fries,18.93%,OK
../data/raw/p01/food-images/IMG_9411.jpeg,2020-03-30,churros,35.33%,OK
../data/raw/p01/food-images/IMG_9412.jpeg,2020-03-30,chocolate mousse,12.52%,OK
../data/raw/p01/food-images/IMG_9413.jpeg,2020-03-31,hot dog,6.86%,OK
../data/raw/p01/food-images/IMG_9414.jpeg,2020-03-31,panna cotta,31.48%,OK
../data/raw/p01/food-images/IMG_9415.jpeg,2020-03-31,paella,35.69%,OK
../data/raw/p01/food-images/IMG_9462.jpeg,2020-03-31,french fries,15.98%,OK
