Chemin_Fichier,Date_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_9040.jpeg,2020-02-12,tuna tartare,17.57%,OK
../data/raw/p01/food-images/IMG_9041.jpeg,2020-02-12,chocolate mousse,18.67%,OK
../data/raw/p01/food-images/IMG_9042.jpeg,2020-02-12,cheese plate,8.90%,OK
../data/raw/p01/food-images/IMG_9043.jpeg,2020-02-13,beef tartare,8.04%,OK
../data/raw/p01/food-images/IMG_9044.jpeg,2020-02-13,cheese plate,12.91%,OK
../data/raw/p01/food-images/IMG_9046.jpeg,2020-02-13,chocolate mousse,24.70%,OK
../data/raw/p01/food-images/IMG_9047.jpeg,2020-02-13,pulled pork sandwich,9.01%,OK
../data/raw/p01/food-images/IMG_9048.jpeg,2020-02-13,macaroni and cheese,17.52%,OK
../data/raw/p01/food-images/IMG_9049.jpeg,2020-02-14,donuts,15.31%,OK
../data/raw/p01/food-images/IMG_9050.jpeg,2020-02-14,cheese plate,12.01%,OK
../data/raw/p01/food-images/IMG_9051.jpeg,2020-02-14,chocolate mousse,24.86%,OK
../data/raw/p01/food-images/IMG_9052.jpeg,2020-02-14,ice cream,7.60%,OK
../data/raw/p01/food-images/IMG_9053.jpeg,2020-02-15,panna cotta,13.99%,OK
../data/raw/p01/food-images/IMG_9054.jpeg,2020-02-15,churros,14.65%,OK
../data/raw/p01/food-images/IMG_9057.jpeg,2020-02-15,tacos,11.31%,OK
../data/raw/p01/food-images/IMG_9058.jpeg,2020-02-15,filet mignon,15.68%,OK
../data/raw/p01/food-images/IMG_9059.jpeg,2020-02-15,panna cotta,26.54%,OK
../data/raw/p01/food-images/IMG_9060.jpeg,2020-02-15,club sandwich,29.11%,OK
../data/raw/p01/food-images/IMG_9061.jpeg,2020-02-15,caprese salad,16.45%,OK
../data/raw/p01/food-images/IMG_9062.jpeg,2020-02-16,caprese salad,13.71%,OK
../data/raw/p01/food-images/IMG_9063.jpeg,2020-02-16,tuna tartare,16.35%,OK
../data/raw/p01/food-images/IMG_9064.jpeg,2020-02-16,ice cream,17.37%,OK
../data/raw/p01/food-images/IMG_9065.jpeg,2020-02-16,macarons,10.73%,OK
../data/raw/p01/food-images/IMG_9066.jpeg,2020-02-17,panna cotta,23.41%,OK
../data/raw/p01/food-images/IMG_9067.jpeg,2020-02-17,cheese plate,13.35%,OK
../data/raw/p01/food-images/IMG_9068.jpeg,2020-02-17,panna cotta,12.54%,OK
../data/raw/p01/food-images/IMG_9069.jpeg,2020-02-17,tiramisu,13.06%,OK
../data/raw/p01/food-images/IMG_9072.jpeg,2020-02-17,hot dog,54.13%,OK
../data/raw/p01/food-images/IMG_9073.jpeg,2020-02-17,cheese plate,26.60%,OK
../data/raw/p01/food-images/IMG_9074.jpeg,2020-02-17,hot dog,9.60%,OK
../data/raw/p01/food-images/IMG_9075.jpeg,2020-02-18,macarons,22.72%,OK
../data/raw/p01/food-images/IMG_9078.jpeg,2020-02-18,donuts,10.26%,OK
../data/raw/p01/food-images/IMG_9082.jpeg,2020-02-18,macarons,25.70%,OK
../data/raw/p01/food-images/IMG_9083.jpeg,2020-02-18,steak,24.43%,OK
../data/raw/p01/food-images/IMG_9084.jpeg,2020-02-18,chocolate mousse,19.19%,OK
../data/raw/p01/food-images/IMG_9085.jpeg,2020-02-19,cup cakes,33.70%,OK
../data/raw/p01/food-images/IMG_9088.jpeg,2020-02-19,hot dog,9.45%,OK
../data/raw/p01/food-images/IMG_9089.jpeg,2020-02-19,panna cotta,13.25%,OK
../data/raw/p01/food-images/IMG_9091.jpeg,2020-02-19,churros,61.21%,OK
../data/raw/p01/food-images/IMG_9092.jpeg,2020-02-19,cheesecake,38.73%,OK
../data/raw/p01/food-images/IMG_9093.jpeg,2020-02-19,club sandwich,9.18%,OK
../data/raw/p01/food-images/IMG_9094.jpeg,2020-02-19,chocolate mousse,34.38%,OK
../data/raw/p01/food-images/IMG_9096.jpeg,2020-02-20,ice cream,26.21%,OK
../data/raw/p01/food-images/IMG_9098.jpeg,2020-02-20,chocolate mousse,25.82%,OK
../data/raw/p01/food-images/IMG_9099.jpeg,2020-02-20,apple pie,8.89%,OK
../data/raw/p01/food-images/IMG_9101.jpeg,2020-02-20,miso soup,26.15%,OK
../data/raw/p01/food-images/IMG_9102.jpeg,2020-02-20,macarons,16.37%,OK
../data/raw/p01/food-images/IMG_9104.jpeg,2020-02-21,cup cakes,53.04%,OK
../data/raw/p01/food-images/IMG_9106.jpeg,2020-02-21,hot dog,91.63%,OK
../data/raw/p01/food-images/IMG_9107.jpeg,2020-02-21,chocolate mousse,25.48%,OK
../data/raw/p01/food-images/IMG_9108.jpeg,2020-02-21,beet salad,13.28%,OK
../data/raw/p01/food-images/IMG_9109.jpeg,2020-02-21,deviled eggs,12.29%,OK
../data/raw/p01/food-images/IMG_9110.jpeg,2020-02-22,hot dog,15.25%,OK
../data/raw/p01/food-images/IMG_9111.png,2020-02-22,caesar salad,12.91%,OK
../data/raw/p01/food-images/IMG_9112.jpeg,2020-02-22,donuts,17.18%,OK
../data/raw/p01/food-images/IMG_9116.jpeg,2020-02-22,ice cream,14.08%,OK
../data/raw/p01/food-images/IMG_9117.jpeg,2020-02-22,french fries,33.15%,OK
../data/raw/p01/food-images/IMG_9118.jpeg,2020-02-22,french fries,92.74%,OK
../data/raw/p01/food-images/IMG_9119.jpeg,2020-02-22,creme brulee,20.44%,OK
../data/raw/p01/food-images/IMG_9120.jpeg,2020-02-23,apple pie,14.88%,OK
../data/raw/p01/food-images/IMG_9121.jpeg,2020-02-23,ice cream,22.27%,OK
../data/raw/p01/food-images/IMG_9122.jpeg,2020-02-23,cheese plate,13.13%,OK
../data/raw/p01/food-images/IMG_9154.jpeg,2020-02-23,tiramisu,31.73%,OK
../data/raw/p01/food-images/IMG_9155.jpeg,2020-02-23,pizza,34.18%,OK
../data/raw/p01/food-images/IMG_9156.jpeg,2020-02-23,macarons,15.09%,OK
../data/raw/p01/food-images/IMG_9157.jpeg,2020-02-23,macarons,8.70%,OK
../data/raw/p01/food-images/IMG_9158.jpeg,2020-02-23,panna cotta,15.81%,OK
../data/raw/p01/food-images/IMG_9159.jpeg,2020-02-24,falafel,23.17%,OK
../data/raw/p01/food-images/IMG_9160.jpeg,2020-02-24,macarons,35.04%,OK
../data/raw/p01/food-images/IMG_9161.jpeg,2020-02-24,lobster bisque,90.45%,OK
../data/raw/p01/food-images/IMG_9163.jpeg,2020-02-24,prime rib,10.94%,OK
../data/raw/p01/food-images/IMG_9164.jpeg,2020-02-25,chocolate mousse,14.69%,OK
../data/raw/p01/food-images/IMG_9165.jpeg,2020-02-25,tuna tartare,7.35%,OK
../data/raw/p01/food-images/IMG_9168.jpeg,2020-02-25,ice cream,18.62%,OK
../data/raw/p01/food-images/IMG_9171.jpeg,2020-02-25,macarons,9.94%,OK
../data/raw/p01/food-images/IMG_9178.jpeg,2020-02-25,ice cream,11.47%,OK
../data/raw/p01/food-images/IMG_9180.jpeg,2020-02-25,spring rolls,8.02%,OK
../data/raw/p01/food-images/IMG_9186.jpeg,2020-02-25,frozen yogurt,15.11%,OK
../data/raw/p01/food-images/IMG_9187.jpeg,2020-02-25,frozen yogurt,21.29%,OK
../data/raw/p01/food-images/IMG_9188.jpeg,2020-02-26,fried calamari,17.56%,OK
../data/raw/p01/food-images/IMG_9199.jpeg,2020-02-26,spring rolls,29.59%,OK
../data/raw/p01/food-images/IMG_9200.jpeg,2020-02-26,cheese plate,34.74%,OK
../data/raw/p01/food-images/IMG_9201.jpeg,2020-02-26,ice cream,10.79%,OK
../data/raw/p01/food-images/IMG_9202.jpeg,2020-02-26,pizza,51.85%,OK
../data/raw/p01/food-images/IMG_9203.jpeg,2020-02-26,fried calamari,25.04%,OK
../data/raw/p01/food-images/IMG_9204.jpeg,2020-02-26,edamame,38.80%,OK
../data/raw/p01/food-images/IMG_9205.jpeg,2020-02-27,miso soup,33.67%,OK
../data/raw/p01/food-images/IMG_9206.jpeg,2020-02-27,macarons,26.41%,OK
../data/raw/p01/food-images/IMG_9207.jpeg,2020-02-27,macarons,13.39%,OK
../data/raw/p01/food-images/IMG_9208.jpeg,2020-02-27,tacos,20.82%,OK
../data/raw/p01/food-images/IMG_9209.jpeg,2020-02-27,fried calamari,18.09%,OK
../data/raw/p01/food-images/IMG_9210.jpeg,2020-02-27,fried rice,16.01%,OK
../data/raw/p01/food-images/IMG_9211.jpeg,2020-02-27,macarons,27.69%,OK
../data/raw/p01/food-images/IMG_9212.jpeg,2020-02-28,foie gras,12.38%,OK
../data/raw/p01/food-images/IMG_9214.jpeg,2020-02-28,macarons,12.96%,OK
../data/raw/p01/food-images/IMG_9215.jpeg,2020-02-28,paella,9.28%,OK
../data/raw/p01/food-images/IMG_9216.jpeg,2020-02-28,churros,7.48%,OK
../data/raw/p01/food-images/IMG_9217.jpeg,2020-02-28,pancakes,49.50%,OK
../data/raw/p01/food-images/IMG_9220.jpeg,2020-02-28,pizza,43.72%,OK
../data/raw/p01/food-images/IMG_9223.jpeg,2020-02-29,foie gras,14.20%,OK
../data/raw/p01/food-images/IMG_9224.jpeg,2020-02-29,cup cakes,12.69%,OK
../data/raw/p01/food-images/IMG_9225.jpeg,2020-02-29,ice cream,8.02%,OK
../data/raw/p01/food-images/IMG_9226.jpeg,2020-02-29,macarons,17.03%,OK
../data/raw/p01/food-images/IMG_9228.jpeg,2020-02-29,greek salad,27.21%,OK
../data/raw/p01/food-images/IMG_9229.jpeg,2020-02-29,edamame,10.65%,OK
../data/raw/p01/food-images/IMG_9230.jpeg,2020-03-01,cup cakes,12.50%,OK
../data/raw/p01/food-images/IMG_9231.jpeg,2020-03-01,ice cream,9.27%,OK
../data/raw/p01/food-images/IMG_9232.jpeg,2020-03-01,churros,20.84%,OK
../data/raw/p01/food-images/IMG_9233.jpeg,2020-03-01,tacos,12.40%,OK
../data/raw/p01/food-images/IMG_9234.jpeg,2020-03-01,pizza,7.77%,OK
../data/raw/p01/food-images/IMG_9236.jpeg,2020-03-01,cheese plate,56.28%,OK
../data/raw/p01/food-images/IMG_9238.jpeg,2020-03-01,macarons,23.56%,OK
../data/raw/p01/food-images/IMG_9240.jpeg,2020-03-02,caprese salad,7.17%,OK
../data/raw/p01/food-images/IMG_9241.jpeg,2020-03-02,churros,44.79%,OK
../data/raw/p01/food-images/IMG_9242.jpeg,2020-03-02,panna cotta,10.54%,OK
../data/raw/p01/food-images/IMG_9243.jpeg,2020-03-02,gnocchi,31.66%,OK
../data/raw/p01/food-images/IMG_9244.jpeg,2020-03-02,panna cotta,11.22%,OK
../data/raw/p01/food-images/IMG_9251.jpeg,2020-03-02,ice cream,26.36%,OK
../data/raw/p01/food-images/IMG_9252.jpeg,2020-03-02,ice cream,34.17%,OK
../data/raw/p01/food-images/IMG_9253.jpeg,2020-03-03,ice cream,10.25%,OK
../data/raw/p01/food-images/IMG_9254.jpeg,2020-03-03,panna cotta,22.46%,OK
../data/raw/p01/food-images/IMG_9255.jpeg,2020-03-03,lobster bisque,17.04%,OK
../data/raw/p01/food-images/IMG_9257.jpeg,2020-03-03,sushi,9.57%,OK
../data/raw/p01/food-images/IMG_9258.jpeg,2020-03-03,carrot cake,14.14%,OK
../data/raw/p01/food-images/IMG_9259.jpeg,2020-03-03,paella,14.05%,OK
../data/raw/p01/food-images/IMG_9260.jpeg,2020-03-03,panna cotta,22.85%,OK
../data/raw/p01/food-images/IMG_9261.jpeg,2020-03-03,carrot cake,21.55%,OK
../data/raw/p01/food-images/IMG_9262.jpeg,2020-03-03,eggs benedict,17.57%,OK
../data/raw/p01/food-images/IMG_9263.jpeg,2020-03-03,chocolate mousse,16.29%,OK
../data/raw/p01/food-images/IMG_9264.jpeg,2020-03-03,mussels,82.33%,OK
../data/raw/p01/food-images/IMG_9265.jpeg,2020-03-04,waffles,19.44%,OK
../data/raw/p01/food-images/IMG_9266.jpeg,2020-03-04,macarons,27.36%,OK
../data/raw/p01/food-images/IMG_9268.jpeg,2020-03-04,chicken curry,22.48%,OK
../data/raw/p01/food-images/IMG_9269.jpeg,2020-03-04,macarons,22.22%,OK
../data/raw/p01/food-images/IMG_9270.jpeg,2020-03-05,churros,12.10%,OK
../data/raw/p01/food-images/IMG_9271.jpeg,2020-03-05,pancakes,21.67%,OK
../data/raw/p01/food-images/IMG_9273.jpeg,2020-03-05,french toast,6.02%,OK
../data/raw/p01/food-images/IMG_9274.jpeg,2020-03-05,creme brulee,21.80%,OK
../data/raw/p01/food-images/IMG_9275.jpeg,2020-03-05,waffles,23.24%,OK
../data/raw/p01/food-images/IMG_9278.jpeg,2020-03-06,tuna tartare,8.40%,OK
../data/raw/p01/food-images/IMG_9280.jpeg,2020-03-06,spring rolls,28.70%,OK
../data/raw/p01/food-images/IMG_9281.jpeg,2020-03-06,cheese plate,10.08%,OK
../data/raw/p01/food-images/IMG_9282.jpeg,2020-03-06,chocolate cake,11.79%,OK
../data/raw/p01/food-images/IMG_9283.jpeg,2020-03-06,ceviche,9.45%,OK
../data/raw/p01/food-images/IMG_9285.jpeg,2020-03-07,panna cotta,35.53%,OK
../data/raw/p01/food-images/IMG_9286.jpeg,2020-03-07,paella,21.34%,OK
../data/raw/p01/food-images/IMG_9287.jpeg,2020-03-07,samosa,27.70%,OK
../data/raw/p01/food-images/IMG_9288.jpeg,2020-03-07,macarons,16.19%,OK
../data/raw/p01/food-images/IMG_9290.jpeg,2020-03-08,cheesecake,17.71%,OK
../data/raw/p01/food-images/IMG_9291.jpeg,2020-03-08,french fries,16.01%,OK
../data/raw/p01/food-images/IMG_9292.jpeg,2020-03-08,fried calamari,43.21%,OK
../data/raw/p01/food-images/IMG_9293.jpeg,2020-03-08,dumplings,7.92%,OK
../data/raw/p01/food-images/IMG_9294.jpeg,2020-03-09,ice cream,12.34%,OK
../data/raw/p01/food-images/IMG_9295.jpeg,2020-03-09,cup cakes,15.64%,OK
../data/raw/p01/food-images/IMG_9296.jpeg,2020-03-09,paella,10.02%,OK
../data/raw/p01/food-images/IMG_9297.jpeg,2020-03-09,cheese plate,11.28%,OK
../data/raw/p01/food-images/IMG_9298.jpeg,2020-03-09,ice cream,24.78%,OK
../data/raw/p01/food-images/IMG_9299.jpeg,2020-03-09,foie gras,20.02%,OK
../data/raw/p01/food-images/IMG_9300.jpeg,2020-03-09,chicken curry,16.53%,OK
../data/raw/p01/food-images/IMG_9301.jpeg,2020-03-10,filet mignon,17.97%,OK
../data/raw/p01/food-images/IMG_9302.jpeg,2020-03-10,macarons,12.81%,OK
../data/raw/p01/food-images/IMG_9303.jpeg,2020-03-10,tacos,10.83%,OK
../data/raw/p01/food-images/IMG_9304.jpeg,2020-03-10,pancakes,15.15%,OK
../data/raw/p01/food-images/IMG_9305.jpeg,2020-03-10,ice cream,25.58%,OK
../data/raw/p01/food-images/IMG_9307.jpeg,2020-03-10,panna cotta,18.39%,OK
../data/raw/p01/food-images/IMG_9308.jpeg,2020-03-10,risotto,14.21%,OK
../data/raw/p01/food-images/IMG_9309.jpeg,2020-03-11,chocolate mousse,29.67%,OK
../data/raw/p01/food-images/IMG_9310.jpeg,2020-03-11,onion rings,30.59%,OK
../data/raw/p01/food-images/IMG_9311.jpeg,2020-03-11,pulled pork sandwich,15.03%,OK
../data/raw/p01/food-images/IMG_9313.jpeg,2020-03-11,churros,31.46%,OK
../data/raw/p01/food-images/IMG_9314.jpeg,2020-03-12,ice cream,21.58%,OK
../data/raw/p01/food-images/IMG_9315.jpeg,2020-03-12,chocolate mousse,42.22%,OK
../data/raw/p01/food-images/IMG_9316.jpeg,2020-03-12,churros,9.92%,OK
../data/raw/p01/food-images/IMG_9317.jpeg,2020-03-12,beignets,29.39%,OK
../data/raw/p01/food-images/IMG_9318.jpeg,2020-03-12,ice cream,21.09%,OK
../data/raw/p01/food-images/IMG_9321.jpeg,2020-03-12,chocolate mousse,24.68%,OK
../data/raw/p01/food-images/IMG_9322.jpeg,2020-03-13,churros,20.16%,OK
../data/raw/p01/food-images/IMG_9323.jpeg,2020-03-13,panna cotta,22.57%,OK
../data/raw/p01/food-images/IMG_9324.jpeg,2020-03-13,tiramisu,23.60%,OK
../data/raw/p01/food-images/IMG_9325.jpeg,2020-03-13,lobster roll sandwich,20.41%,OK
../data/raw/p01/food-images/IMG_9326.jpeg,2020-03-13,ice cream,10.48%,OK
../data/raw/p01/food-images/IMG_9327.jpeg,2020-03-14,cheese plate,9.83%,OK
../data/raw/p01/food-images/IMG_9328.jpeg,2020-03-14,ice cream,43.01%,OK
../data/raw/p01/food-images/IMG_9329.jpeg,2020-03-14,omelette,13.58%,OK
../data/raw/p01/food-images/IMG_9330.jpeg,2020-03-14,macarons,30.22%,OK
../data/raw/p01/food-images/IMG_9331.jpeg,2020-03-14,poutine,14.33%,OK
../data/raw/p01/food-images/IMG_9332.jpeg,2020-03-14,churros,40.56%,OK
../data/raw/p01/food-images/IMG_9333.jpeg,2020-03-15,ice cream,42.03%,OK
../data/raw/p01/food-images/IMG_9336.jpeg,2020-03-15,pancakes,24.27%,OK
../data/raw/p01/food-images/IMG_9337.jpeg,2020-03-15,chocolate mousse,24.38%,OK
../data/raw/p01/food-images/IMG_9339.jpeg,2020-03-16,churros,14.89%,OK
../data/raw/p01/food-images/IMG_9340.jpeg,2020-03-16,waffles,11.65%,OK
../data/raw/p01/food-images/IMG_9342.jpeg,2020-03-16,fried rice,38.89%,OK
../data/raw/p01/food-images/IMG_9343.jpeg,2020-03-16,ice cream,10.50%,OK
../data/raw/p01/food-images/IMG_9344.jpeg,2020-03-17,macarons,15.47%,OK
../data/raw/p01/food-images/IMG_9345.jpeg,2020-03-17,strawberry shortcake,26.32%,OK
../data/raw/p01/food-images/IMG_9346.jpeg,2020-03-17,donuts,46.07%,OK
../data/raw/p01/food-images/IMG_9347.jpeg,2020-03-17,waffles,25.56%,OK
../data/raw/p01/food-images/IMG_9350.jpeg,2020-03-17,cheese plate,11.51%,OK
../data/raw/p01/food-images/IMG_9351.jpeg,2020-03-18,cheesecake,13.70%,OK
../data/raw/p01/food-images/IMG_9354.jpeg,2020-03-18,bibimbap,10.77%,OK
../data/raw/p01/food-images/IMG_9355.jpeg,2020-03-18,chocolate mousse,19.56%,OK
../data/raw/p01/food-images/IMG_9356.jpeg,2020-03-19,macarons,17.40%,OK
../data/raw/p01/food-images/IMG_9358.jpeg,2020-03-19,apple pie,17.35%,OK
